id,character,name,gender,order
65731,Jake Sully,Sam Worthington,2,0
8691,Neytiri,Zoe Saldana,1,1
10205,Dr. Grace Augustine,Sigourney Weaver,1,2
32747,Col. Quaritch,Stephen Lang,2,3
17647,Trudy Chacon,Michelle Rodriguez,1,4
1771,Selfridge,Giovanni Ribisi,2,5
59231,Norm Spellman,Joel David Moore,2,6
30485,Moat,CCH Pounder,1,7
15853,Eytukan,Wes Studi,2,8
10964,Tsu'Tey,Laz Alonso,2,9
95697,Dr. Max Patel,Dileep Rao,2,10
98215,Lyle Wainfleet,Matt Gerald,2,11
154153,Private Fike,Sean Anthony Moran,2,12
397312,Cryo Vault Med Tech,Jason Whyte,2,13
42317,Venture Star Crew Chief,Scott Lawrence,2,14
986734,Lock Up Trooper,Kelly Kilgour,2,15
1207227,Shuttle Pilot,James Patrick Pitt,0,16
1180936,Shuttle Co-Pilot,Sean Patrick Murphy,0,17
1019578,Shuttle Crew Chief,Peter Dillon,2,18
91443,Tractor Operator / Troupe,Kevin Dorman,0,19
173391,Dragon Gunship Pilot,Kelson Henderson,2,20
1207236,Dragon Gunship Gunner,David Van Horn,0,21
215913,Dragon Gunship Navigator,Jacob Tomuri,0,22
143206,Suit #1,Michael Blain-Rozgay,0,23
169676,Suit #2,Jon Curry,2,24
1048610,Ambient Room Tech,Luke Hawker,0,25
42288,Ambient Room Tech / Troupe,Woody Schultz,0,26
68278,Horse Clan Leader,Peter Mensah,2,27
1207247,Link Room Tech,Sonia Yee,0,28
1207248,Basketball Avatar / Troupe,Jahnel Curfman,1,29
89714,Basketball Avatar,Ilram Choi,0,30
1207249,Na'vi Child,Kyla Warren,0,31
1207250,Troupe,Lisa Roumain,0,32
83105,Troupe,Debra Wilson,1,33
1207253,Troupe,Chris Mala,0,34
1207251,Troupe,Taylor Kibby,0,35
1207252,Troupe,Jodie Landau,0,36
1207254,Troupe,Julie Lamm,0,37
1207257,Troupe,Cullen B. Madden,0,38
1207259,Troupe,Joseph Brady Madden,0,39
1207262,Troupe,Frankie Torres,0,40
1158600,Troupe,Austin Wilson,1,41
983705,Troupe,Sara Wilson,1,42
1207263,Troupe,Tamica Washington-Miller,0,43
1145098,Op Center Staff,Lucy Briant,1,44
33305,Op Center Staff,Nathan Meister,2,45
1207264,Op Center Staff,Gerry Blair,0,46
33311,Op Center Staff,Matthew Chamberlain,2,47
1207265,Op Center Staff,Paul Yates,0,48
1207266,Op Center Duty Officer,Wray Wilson,0,49
54492,Op Center Staff,James Gaylyn,2,50
1207267,Dancer,Melvin Leno Clark III,0,51
